pv_id;timestamp;load;unit_load;reactive;unit_reactive
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:00;0;W;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:45;0;W;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:15;2;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:45;2;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 09:00;6;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 09:15;6;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 09:30;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 09:45;14;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 10:00;16;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 10:15;22;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 10:30;24;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 10:45;24;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 11:00;32;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 11:15;30;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 11:30;32;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 11:45;36;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 12:00;44;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 12:15;52;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 12:30;56;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 12:45;60;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 13:00;58;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 13:15;54;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 13:30;52;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 13:45;50;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 14:00;48;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 14:15;46;kW;0;kVarh
